,Date,HomeTeam,AwayTeam,FTR,HomeTeamcat,AwayTeamcat,FTRcat,MatchYear
169,2000-12-16,AstonVilla,ManCity,D,1,25,1,2000
170,2000-12-16,Derby,Coventry,H,16,14,2,2000
171,2000-12-16,Everton,WestHam,D,17,46,1,2000
172,2000-12-16,Ipswich,Southampton,H,21,38,2,2000
173,2000-12-16,Leeds,Sunderland,H,22,40,2,2000
174,2000-12-16,Leicester,Charlton,H,23,12,2,2000
175,2000-12-16,Middlesbrough,Chelsea,H,28,13,2,2000
176,2000-12-16,Newcastle,Bradford,H,29,8,2,2000
177,2000-12-17,ManUnited,Liverpool,A,26,24,0,2000
178,2000-12-18,Tottenham,Arsenal,D,43,0,1,2000
179,2000-12-22,Coventry,Southampton,D,14,38,1,2000
180,2000-12-23,Charlton,Everton,H,12,17,2,2000
181,2000-12-23,Chelsea,Bradford,H,13,8,2,2000
182,2000-12-23,Derby,Newcastle,H,16,29,2,2000
183,2000-12-23,Leeds,AstonVilla,A,22,1,0,2000
184,2000-12-23,Leicester,WestHam,H,23,46,2,2000
185,2000-12-23,Liverpool,Arsenal,H,24,0,2,2000
186,2000-12-23,ManUnited,Ipswich,H,26,21,2,2000
187,2000-12-23,Sunderland,ManCity,H,40,25,2,2000
188,2000-12-23,Tottenham,Middlesbrough,D,43,28,1,2000
189,2000-12-26,Arsenal,Leicester,H,0,23,2,2000
190,2000-12-26,AstonVilla,ManUnited,A,1,26,0,2000
191,2000-12-26,Bradford,Sunderland,A,8,40,0,2000
192,2000-12-26,Everton,Coventry,A,17,14,0,2000
193,2000-12-26,Ipswich,Chelsea,D,21,13,1,2000
194,2000-12-26,ManCity,Derby,D,25,16,1,2000
195,2000-12-26,Middlesbrough,Liverpool,H,28,24,2,2000
196,2000-12-26,Newcastle,Leeds,H,29,22,2,2000
197,2000-12-26,WestHam,Charlton,H,46,12,2,2000
198,2000-12-27,Southampton,Tottenham,H,38,43,2,2000
199,2000-12-30,Arsenal,Sunderland,D,0,40,1,2000
200,2000-12-30,Ipswich,Tottenham,H,21,43,2,2000
201,2000-12-30,ManCity,Charlton,A,25,12,0,2000
202,2000-12-30,Middlesbrough,Coventry,D,28,14,1,2000
203,2000-12-30,Newcastle,ManUnited,D,29,26,1,2000
204,2000-12-30,Southampton,Derby,H,38,16,2,2000
205,2001-01-01,Charlton,Arsenal,H,12,0,2,2001
206,2001-01-01,Chelsea,AstonVilla,H,13,1,2,2001
207,2001-01-01,Coventry,ManCity,D,14,25,1,2001
208,2001-01-01,Derby,Everton,H,16,17,2,2001
209,2001-01-01,Leeds,Middlesbrough,D,22,28,1,2001
210,2001-01-01,Leicester,Bradford,A,23,8,0,2001
211,2001-01-01,Liverpool,Southampton,H,24,38,2,2001
212,2001-01-01,ManUnited,WestHam,H,26,46,2,2001
213,2001-01-01,Sunderland,Ipswich,H,40,21,2,2001
214,2001-02-01,Tottenham,Newcastle,H,43,29,2,2001
215,2001-01-13,Arsenal,Chelsea,D,0,13,1,2001
216,2001-01-13,AstonVilla,Liverpool,A,1,24,0,2001
217,2001-01-13,Bradford,ManUnited,A,8,26,0,2001
218,2001-01-13,Everton,Tottenham,D,17,43,1,2001
219,2001-01-13,ManCity,Leeds,A,25,22,0,2001
220,2001-01-13,Middlesbrough,Derby,H,28,16,2,2001
221,2001-01-13,Newcastle,Coventry,H,29,14,2,2001
222,2001-01-13,Southampton,Charlton,D,38,12,1,2001
223,2001-01-13,WestHam,Sunderland,A,46,40,0,2001
224,2001-01-14,Ipswich,Leicester,H,21,23,2,2001
225,2001-01-20,Chelsea,Ipswich,H,13,21,2,2001
226,2001-01-20,Coventry,Everton,A,14,17,0,2001
227,2001-01-20,Derby,ManCity,D,16,25,1,2001
228,2001-01-20,Leeds,Newcastle,A,22,29,0,2001
229,2001-01-20,Leicester,Arsenal,D,23,0,1,2001
230,2001-01-20,Liverpool,Middlesbrough,D,24,28,1,2001
231,2001-01-20,ManUnited,AstonVilla,H,26,1,2,2001
232,2001-01-20,Tottenham,Southampton,D,43,38,1,2001
233,2001-01-21,Sunderland,Bradford,D,40,8,1,2001
234,2001-01-22,Charlton,WestHam,D,12,46,1,2001
235,2001-01-24,AstonVilla,Leeds,A,1,22,0,2001
236,2001-01-30,Arsenal,Bradford,H,0,8,2,2001
237,2001-01-30,Charlton,Derby,H,12,16,2,2001
238,2001-01-31,Chelsea,Newcastle,H,13,29,2,2001
239,2001-01-31,Everton,Middlesbrough,D,17,28,1,2001
240,2001-01-31,Leeds,Coventry,H,22,14,2,2001
241,2001-01-31,ManCity,Liverpool,D,25,24,1,2001
242,2001-01-31,Southampton,Leicester,H,38,23,2,2001
243,2001-01-31,Sunderland,ManUnited,A,40,26,0,2001
244,2001-01-31,WestHam,Tottenham,D,46,43,1,2001
245,2001-03-02,Bradford,AstonVilla,A,8,1,0,2001
246,2001-03-02,Coventry,Arsenal,A,14,0,0,2001
247,2001-03-02,Derby,Sunderland,H,16,40,2,2001
248,2001-03-02,Ipswich,Leeds,A,21,22,0,2001
249,2001-03-02,Leicester,Chelsea,H,23,13,2,2001
250,2001-03-02,Liverpool,WestHam,H,24,46,2,2001
251,2001-03-02,ManUnited,Everton,H,26,17,2,2001
252,2001-03-02,Middlesbrough,ManCity,D,28,25,1,2001
253,2001-03-02,Tottenham,Charlton,D,43,12,1,2001
254,2001-07-02,Everton,Leeds,D,17,22,1,2001
255,2001-10-02,Arsenal,Ipswich,H,0,21,2,2001
256,2001-10-02,AstonVilla,Middlesbrough,D,1,28,1,2001
257,2001-10-02,Chelsea,ManUnited,D,13,26,1,2001
258,2001-10-02,Everton,Leicester,H,17,23,2,2001
259,2001-10-02,Leeds,Derby,D,22,16,1,2001
260,2001-10-02,ManCity,Tottenham,A,25,43,0,2001
261,2001-10-02,Southampton,Bradford,H,38,8,2,2001
262,2001-10-02,Sunderland,Liverpool,D,40,24,1,2001
263,2001-11-02,Charlton,Newcastle,H,12,29,2,2001
264,2001-12-02,WestHam,Coventry,D,46,14,1,2001
265,2001-02-24,Bradford,WestHam,A,8,46,0,2001
266,2001-02-24,Coventry,Charlton,D,14,12,1,2001
267,2001-02-24,Derby,AstonVilla,H,16,1,2,2001
268,2001-02-24,Ipswich,Everton,H,21,17,2,2001
269,2001-02-24,Leicester,Sunderland,H,23,40,2,2001
270,2001-02-24,Middlesbrough,Southampton,A,28,38,0,2001
271,2001-02-24,Newcastle,ManCity,A,29,25,0,2001
272,2001-02-24,Tottenham,Leeds,A,43,22,0,2001
273,2001-02-25,ManUnited,Arsenal,H,26,0,2,2001
274,2001-03-03,Arsenal,WestHam,H,0,46,2,2001
275,2001-03-03,Coventry,Chelsea,D,14,13,1,2001
276,2001-03-03,Derby,Tottenham,H,16,43,2,2001
277,2001-03-03,Everton,Newcastle,D,17,29,1,2001
278,2001-03-03,Leeds,ManUnited,D,22,26,1,2001
279,2001-03-03,Leicester,Liverpool,H,23,24,2,2001
280,2001-03-03,ManCity,Southampton,A,25,38,0,2001
281,2001-03-03,Middlesbrough,Charlton,D,28,12,1,2001
282,2001-04-03,Ipswich,Bradford,H,21,8,2,2001
283,2001-05-03,Sunderland,AstonVilla,D,40,1,1,2001
284,2001-07-03,WestHam,Chelsea,A,46,13,0,2001
285,2001-10-03,AstonVilla,Ipswich,H,1,21,2,2001
286,2001-03-17,Bradford,ManCity,D,8,25,1,2001
287,2001-03-17,Charlton,Leeds,A,12,22,0,2001
